0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:42 +0900] "GET /edt/resources/img/p_img/DJ6902-700.png HTTP/1.1" 200 463329
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:47 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 9781
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:47 +0900] "GET /edt/products.jsp?brand=%27NIKE%27 HTTP/1.1" 200 17077
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:48 +0900] "GET /edt/products.jsp?brand=%27ADIDAS%27 HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:49 +0900] "GET /edt/products.jsp?brand=%27NEW%20BALANCE%27 HTTP/1.1" 200 8654
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:50 +0900] "GET /edt/products.jsp HTTP/1.1" 200 30786
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:51 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 9781
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:52 +0900] "GET /edt/products.jsp?brand=%27NIKE%27 HTTP/1.1" 200 17077
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:52 +0900] "GET /edt/products.jsp?brand=%27ADIDAS%27 HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:53 +0900] "GET /edt/products.jsp?brand=%27NEW%20BALANCE%27 HTTP/1.1" 200 8654
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:54 +0900] "GET /edt/main.jsp HTTP/1.1" 200 19994
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:34:56 +0900] "GET /edt/products.jsp HTTP/1.1" 200 30786
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:35:01 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 9781
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:36:19 +0900] "GET /edt/products.jsp HTTP/1.1" 200 30786
